Entity,Code,Year,Annual CO₂ emissions,Annual CO₂ emissions
Africa,,2005,1059372350,1059372350
Africa,,2006,1091175800,1091175800
Africa,,2007,1116900100,1116900100
Africa,,2008,1174755200,1174755200
Africa,,2009,1168250400,1168250400
Africa,,2010,1216669000,1216669000
Africa,,2011,1257421000,1257421000
Africa,,2012,1268948200,1268948200
Africa,,2013,1282541800,1282541800
Africa,,2014,1357348700,1357348700
Africa,,2015,1332661800,1332661800
Africa,,2016,1375131500,1375131500
Africa,,2017,1393216400,1393216400
Africa,,2018,1386654300,1386654300
Africa,,2019,1479411800,1479411800
Africa,,2020,1355782400,1355782400
Africa,,2021,1441534000,1441534000
Africa,,2022,1432502900,1432502900
Africa,,2023,1418739200,1418739200
Asia (excl. China and India),,2005,5475925000,5475925000
Asia (excl. China and India),,2006,5617514000,5617514000
Asia (excl. China and India),,2007,5760085000,5760085000
Asia (excl. China and India),,2008,5867472000,5867472000
Asia (excl. China and India),,2009,5890850300,5890850300
Asia (excl. China and India),,2010,6256353000,6256353000
Asia (excl. China and India),,2011,6490375700,6490375700
Asia (excl. China and India),,2012,6750448000,6750448000
Asia (excl. China and India),,2013,6740584000,6740584000
Asia (excl. China and India),,2014,6801443000,6801443000
Asia (excl. China and India),,2015,6949811700,6949811700
Asia (excl. China and India),,2016,7075333600,7075333600
Asia (excl. China and India),,2017,7304572000,7304572000
Asia (excl. China and India),,2018,7409473500,7409473500
Asia (excl. China and India),,2019,7562272300,7562272300
Asia (excl. China and India),,2020,7307606500,7307606500
Asia (excl. China and India),,2021,7518262300,7518262300
Asia (excl. China and India),,2022,7634051600,7634051600
Asia (excl. China and India),,2023,7635394000,7635394000
China,CHN,2005,5882106400,5882106400
China,CHN,2006,6494330400,6494330400
China,CHN,2007,6983547400,6983547400
China,CHN,2008,7501497300,7501497300
China,CHN,2009,7891078000,7891078000
China,CHN,2010,8620576000,8620576000
China,CHN,2011,9532332000,9532332000
China,CHN,2012,9779292000,9779292000
China,CHN,2013,9956329000,9956329000
China,CHN,2014,9990257000,9990257000
China,CHN,2015,9863457000,9863457000
China,CHN,2016,9762714000,9762714000
China,CHN,2017,10006343000,10006343000
China,CHN,2018,10332993000,10332993000
China,CHN,2019,10713984000,10713984000
China,CHN,2020,10905693000,10905693000
China,CHN,2021,11447913000,11447913000
China,CHN,2022,11350538000,11350538000
China,CHN,2023,11902503000,11902503000
Europe (excl. EU-27),,2005,2686686700,2686686700
Europe (excl. EU-27),,2006,2777509000,2777509000
Europe (excl. EU-27),,2007,2771445800,2771445800
Europe (excl. EU-27),,2008,2780618500,2780618500
Europe (excl. EU-27),,2009,2562352000,2562352000
Europe (excl. EU-27),,2010,2692537000,2692537000
Europe (excl. EU-27),,2011,2718283000,2718283000
Europe (excl. EU-27),,2012,2740984800,2740984800
Europe (excl. EU-27),,2013,2666312400,2666312400
Europe (excl. EU-27),,2014,2572619800,2572619800
Europe (excl. EU-27),,2015,2521727700,2521727700
Europe (excl. EU-27),,2016,2508779300,2508779300
Europe (excl. EU-27),,2017,2518700800,2518700800
Europe (excl. EU-27),,2018,2567147500,2567147500
Europe (excl. EU-27),,2019,2532198000,2532198000
Europe (excl. EU-27),,2020,2398923500,2398923500
Europe (excl. EU-27),,2021,2502895000,2502895000
Europe (excl. EU-27),,2022,2488792000,2488792000
Europe (excl. EU-27),,2023,2482599200,2482599200
European Union (27),,2005,3735484400,3735484400
European Union (27),,2006,3752486700,3752486700
European Union (27),,2007,3702451700,3702451700
European Union (27),,2008,3625925400,3625925400
European Union (27),,2009,3330550800,3330550800
European Union (27),,2010,3424056300,3424056300
European Union (27),,2011,3326834000,3326834000
European Union (27),,2012,3257576200,3257576200
European Union (27),,2013,3175109600,3175109600
European Union (27),,2014,3038410200,3038410200
European Union (27),,2015,3094753500,3094753500
European Union (27),,2016,3093282300,3093282300
European Union (27),,2017,3117226000,3117226000
European Union (27),,2018,3049868000,3049868000
European Union (27),,2019,2904707800,2904707800
European Union (27),,2020,2627391700,2627391700
European Union (27),,2021,2801144000,2801144000
European Union (27),,2022,2740077800,2740077800
European Union (27),,2023,2510622000,2510622000
India,IND,2005,1194592400,1194592400
India,IND,2006,1292484600,1292484600
India,IND,2007,1392506000,1392506000
India,IND,2008,1489437400,1489437400
India,IND,2009,1612216300,1612216300
India,IND,2010,1677337200,1677337200
India,IND,2011,1764712400,1764712400
India,IND,2012,1925699700,1925699700
India,IND,2013,1995098100,1995098100
India,IND,2014,2148343800,2148343800
India,IND,2015,2234219500,2234219500
India,IND,2016,2354658000,2354658000
India,IND,2017,2426606800,2426606800
India,IND,2018,2593057800,2593057800
India,IND,2019,2612888000,2612888000
India,IND,2020,2421552000,2421552000
India,IND,2021,2674221800,2674221800
India,IND,2022,2831166200,2831166200
India,IND,2023,3062324500,3062324500
International aviation,,2005,410863360,410863360
International aviation,,2006,424846400,424846400
International aviation,,2007,439882500,439882500
International aviation,,2008,445605900,445605900
International aviation,,2009,428018940,428018940
International aviation,,2010,451502460,451502460
International aviation,,2011,470057340,470057340
International aviation,,2012,484409700,484409700
International aviation,,2013,498400600,498400600
International aviation,,2014,498252740,498252740
International aviation,,2015,518202750,518202750
International aviation,,2016,540413500,540413500
International aviation,,2017,564229500,564229500
International aviation,,2018,605797760,605797760
International aviation,,2019,623608900,623608900
International aviation,,2020,270161150,270161150
International aviation,,2021,293715900,293715900
International aviation,,2022,424851260,424851260
International aviation,,2023,523411550,523411550
International shipping,,2005,531992600,531992600
International shipping,,2006,569212200,569212200
International shipping,,2007,611520400,611520400
International shipping,,2008,615992450,615992450
International shipping,,2009,594947460,594947460
International shipping,,2010,629808900,629808900
International shipping,,2011,639337540,639337540
International shipping,,2012,613455700,613455700
International shipping,,2013,615697600,615697600
International shipping,,2014,621561200,621561200
International shipping,,2015,638760400,638760400
International shipping,,2016,632392400,632392400
International shipping,,2017,645676800,645676800
International shipping,,2018,641294900,641294900
International shipping,,2019,627169700,627169700
International shipping,,2020,583679040,583679040
International shipping,,2021,599905340,599905340
International shipping,,2022,595232100,595232100
International shipping,,2023,593157760,593157760
North America (excl. USA),,2005,1189129700,1189129700
North America (excl. USA),,2006,1206295600,1206295600
North America (excl. USA),,2007,1233613200,1233613200
North America (excl. USA),,2008,1216395300,1216395300
North America (excl. USA),,2009,1168716300,1168716300
North America (excl. USA),,2010,1183444000,1183444000
North America (excl. USA),,2011,1219653000,1219653000
North America (excl. USA),,2012,1237709800,1237709800
North America (excl. USA),,2013,1236799700,1236799700
North America (excl. USA),,2014,1226072200,1226072200
North America (excl. USA),,2015,1227611600,1227611600
North America (excl. USA),,2016,1214237700,1214237700
North America (excl. USA),,2017,1205758100,1205758100
North America (excl. USA),,2018,1220009200,1220009200
North America (excl. USA),,2019,1231214100,1231214100
North America (excl. USA),,2020,1112000400,1112000400
North America (excl. USA),,2021,1160539400,1160539400
North America (excl. USA),,2022,1188572400,1188572400
North America (excl. USA),,2023,1212158700,1212158700
Oceania,,2005,434553100,434553100
Oceania,,2006,440741250,440741250
Oceania,,2007,448667040,448667040
Oceania,,2008,453681630,453681630
Oceania,,2009,452965020,452965020
Oceania,,2010,451682000,451682000
Oceania,,2011,450399680,450399680
Oceania,,2012,453473280,453473280
Oceania,,2013,446240540,446240540
Oceania,,2014,442859330,442859330
Oceania,,2015,452078900,452078900
Oceania,,2016,460608160,460608160
Oceania,,2017,465369760,465369760
Oceania,,2018,468624000,468624000
Oceania,,2019,470051360,470051360
Oceania,,2020,449667040,449667040
Oceania,,2021,439661570,439661570
Oceania,,2022,433028500,433028500
Oceania,,2023,430302660,430302660
South America,,2005,881497200,881497200
South America,,2006,909106400,909106400
South America,,2007,943890700,943890700
South America,,2008,987698940,987698940
South America,,2009,961250200,961250200
South America,,2010,1072222700,1072222700
South America,,2011,1089016300,1089016300
South America,,2012,1143936600,1143936600
South America,,2013,1208385700,1208385700
South America,,2014,1224245800,1224245800
South America,,2015,1195139100,1195139100
South America,,2016,1146173800,1146173800
South America,,2017,1130036400,1130036400
South America,,2018,1077709600,1077709600
South America,,2019,1084625800,1084625800
South America,,2020,979441100,979441100
South America,,2021,1079731200,1079731200
South America,,2022,1096152800,1096152800
South America,,2023,1108965000,1108965000
United States,USA,2005,6132183000,6132183000
United States,USA,2006,6052686000,6052686000
United States,USA,2007,6130123000,6130123000
United States,USA,2008,5915118600,5915118600
United States,USA,2009,5480725500,5480725500
United States,USA,2010,5679715300,5679715300
United States,USA,2011,5546116000,5546116000
United States,USA,2012,5344086000,5344086000
United States,USA,2013,5480156700,5480156700
United States,USA,2014,5528681000,5528681000
United States,USA,2015,5376473000,5376473000
United States,USA,2016,5252932000,5252932000
United States,USA,2017,5212162000,5212162000
United States,USA,2018,5377797000,5377797000
United States,USA,2019,5262145000,5262145000
United States,USA,2020,4714628000,4714628000
United States,USA,2021,5032213000,5032213000
United States,USA,2022,5078871000,5078871000
United States,USA,2023,4911391000,4911391000